Species_ID_shark-references,Genus,Species,Author,,
1813,Dasyatis,guttata,"(BLOCH & SCHNEIDER, 1801)",,
1815,Dasyatis,hastata,"(DEKAY, 1842)",,
1822,Dasyatis,hypostigma,"SANTOS & CARVALHO, 2004",,
1825,Dasyatis,izuensis,"NISHIDA & NAKAYA, 1988",,
1832,Dasyatis,laevigata,"CHU, 1960",,
1835,Dasyatis,laosensis,"ROBERTS & KARNASUTA, 1987",,
1836,Dasyatis,lata,"(GARMAN, 1880)",,
1840,Dasyatis,longa,"(GARMAN, 1880)",,
13784,Dasyatis,longicauda,"LAST & WHITE, 2013",,
1846,Dasyatis,margarita,"(GÜNTHER, 1870)",,
1847,Dasyatis,margaritella,"COMPAGNO & ROBERTS, 1984",,
1849,Dasyatis,marianae,"GOMES, ROSA & GADIG, 2000",,
1850,Dasyatis,marmorata,"(STEINDACHNER, 1892)",,
1853,Dasyatis,matsubarai,"MIYOSI, 1939",,
1855,Dasyatis,microps,"(ANNANDALE, 1908)",,
1860,Dasyatis,multispinosa,"(TOKAREV, 1959)",,
1862,Dasyatis,navarrae,"(STEINDACHNER, 1892)",,
1867,Dasyatis,parvonigra,"LAST & WHITE, 2008",,
1868,Dasyatis,pastinaca,"(LINNAEUS, 1758)",,
1882,Dasyatis,rudis,"(GÜNTHER, 1870)",,
1885,Dasyatis,sabina,"(LESUEUR, 1824)",,
1887,Dasyatis,say,"(LESUEUR, 1817)",,
1897,Dasyatis,sinensis,"(STEINDACHNER, 1892)",,
1906,Dasyatis,thetidis,"OGILBY, 1899",,
1909,Dasyatis,tortonesei,"CAPAPÉ, 1975",,
1917,Dasyatis,ukpam,"(SMITH, 1863)",,
1919,Dasyatis,ushiei,"(JORDAN & HUBBS, 1925)",,
1930,Dasyatis,zugei,"(MÜLLER & HENLE, 1841)",,
1937,Deania,calcea,"(LOWE, 1839)",,
1944,Deania,hystricosa,"(GARMAN, 1906)",,
1948,Deania,profundorum,"(SMITH & RADCLIFFE, 1912)",,
1949,Deania,quadrispinosa,"(MCCULLOCH, 1915)",,
10672,Dentiraja,lemprieri,"(RICHARDSON, 1845)",,
1970,Diplobatis,colombiensis,"FECHHELM & McEACHRAN, 1984",,
1972,Diplobatis,guamachensis,"MARTÍN SALAZAR, 1957",,
1973,Diplobatis,ommata,"(JORDAN & GILBERT, 1890)",,
1975,Diplobatis,pictus,"PALMER, 1950",,
1977,Dipturus,acrobelus,"LAST, WHITE & POGONOSKI, 2008",,
13816,Dipturus,amphispinus,"LAST & ALAVA, 2013",,
1978,Dipturus,apricus,"LAST, WHITE & POGONOSKI, 2008",,
1979,Dipturus,argentinensis,"DÍAZ DE ASTARLOA, MABRAGAÑA, HANNER & FIGUEROA, 2008",,
1980,Dipturus,australis,"(MACLEAY, 1884)",,
1981,Dipturus,batis,"(LINNAEUS, 1758)",,
1983,Dipturus,bullisi,"(BIGELOW & SCHROEDER, 1962)",,
1984,Dipturus,campbelli,"(WALLACE, 1967)",,
1985,Dipturus,canutus,"LAST, 2008",,
1986,Dipturus,cerva,"(WHITLEY, 1939)",,
1989,Dipturus,confusus,"LAST, 2008",,
1990,Dipturus,crosnieri,"(SÉRET, 1989)",,
1991,Dipturus,diehli,"SOTO & MINCARONE, 2001",,
1992,Dipturus,doutrei,"(CADENAT, 1960)",,
1993,Dipturus,ecuadoriensis,"(BEEBE & TEE-VAN, 1941)",,
1994,Dipturus,endeavouri,"LAST, 2008",,
1995,Dipturus,falloargus,"LAST, 2008",,
1996,Dipturus,flavirostris,"(PHILIPPI, 1892)",,
11826,Dipturus,flindersi,"(LAST & GLEDHILL, 2008)",,
1997,Dipturus,garricki,"(BIGELOW & SCHROEDER, 1958)",,
1998,Dipturus,gigas,"(ISHIYAMA, 1958)",,
1999,Dipturus,grahami,"LAST, 2008",,
2000,Dipturus,gudgeri,"(WHITLEY, 1940)",,
2001,Dipturus,healdi,"LAST, WHITE & POGONOSKI, 2008",,
2002,Dipturus,innominatus,"(GARRICK & PAUL, 1974)",,
2004,Dipturus,johannisdavisi,"(ALCOCK, 1899)",,
2006,Dipturus,kwangtungensis,"(CHU, 1960)",,
2007,Dipturus,laevis,"(MITCHILL, 1818)",,
2008,Dipturus,lanceorostratus,"(WALLACE, 1967)",,
2010,Dipturus,leptocauda,"(KREFFT & STEHMANN, 1975)",,
2014,Dipturus,macrocauda,"(ISHIYAMA, 1955)",,
2016,Dipturus,melanospilus,"LAST, WHITE & POGONOSKI, 2008",,
2017,Dipturus,mennii,"GOMES & PARAGÓ, 2001",,
2019,Dipturus,nidarosiensis,"(STORM, 1881)",,
2021,Dipturus,oculus,"LAST, 2008",,
2022,Dipturus,olseni,"(BIGELOW & SCHROEDER, 1951)",,
2023,Dipturus,oregoni,"(BIGELOW & SCHROEDER, 1958)",,
2026,Dipturus,oxyrinchus,"(LINNAEUS, 1758)",,
2027,Dipturus,polyommata,"(OGILBY, 1910)",,
2029,Dipturus,pullopunctatus,"(SMITH, 1964)",,
2030,Dipturus,queenslandicus,"LAST, WHITE & POGONOSKI, 2008",,
2032,Dipturus,springeri,"(WALLACE, 1967)",,
2033,Dipturus,stenorhynchus,"(WALLACE, 1967)",,
2034,Dipturus,teevani,"(BIGELOW & SCHROEDER, 1951)",,
2035,Dipturus,tengu,"(JORDAN & FOWLER, 1903)",,
2036,Dipturus,trachyderma,"(KREFFT & STEHMANN, 1975)",,
2038,Dipturus,wengi,"SÉRET & LAST, 2008",,
2039,Dipturus,whitleyi,"(IREDALE, 1938)",,
2040,Dipturus,wuhanlingi,"JEONG & NAKABO, 2008",,
7705,Discopyge,castelloi,"MENNI, RINCON & GARCIA, 2008",,
2043,Discopyge,tschudii,"HECKEL, 1846",,
2061,Echinorhinus,brucus,"(BONNATERRE, 1788)",,
2064,Echinorhinus,cookei,"PIETSCHMANN, 1928",,
10399,Electrolux,addisoni,"COMPAGNO & HEEMSTRA, 2007",,
2147,Eridacnis,barbouri,"(BIGELOW & SCHROEDER, 1944)",,
2148,Eridacnis,radcliffei,"SMITH, 1913",,
2150,Eridacnis,sinuans,"(SMITH, 1957)",,
14530,Etmopterus,benchleyi,"VÁSQUEZ, EBERT & LONG, 2015",,
2157,Etmopterus,bigelowi,"SHIRAI & TACHIKAWA, 1993",,
2159,Etmopterus,brachyurus,"SMITH & RADCLIFFE, 1912",,
